"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Аниеиков, П. В.";"Аниеиков";"П. В.";"П. В.";"Аниеиков";"Аниеикову";"";"Аниеиков, П. В.";"";""
"Аничков, А. И.";"Аничков";"А. И.";"А. И.";"Аничков";"Аничкову";"";"Аничков, А. И.";"";""
"Анке, Н. Н.";"Анке";"Н. Н.";"Н. Н.";"Анке";"Анке";"";"Анке, Н. Н.";"";""
"Анне Колле";"Анне Колле";"";"";"Анне Колле";"Анне Колле";"";"Анне Колле";"";""
"Анне Павловна";"Анне Павловна";"";"";"Анне Павловна";"Анне Павловне";"";"Анне Павловна";"";""
"Анненков, В. В.";"Анненков";"В. В.";"В. В.";"Анненков";"Анненкову";"";"Анненков, В. В.";"";""
"Анненков, И. В.";"Анненков";"И. В.";"И. В.";"Анненков";"Анненкову";"";"Анненков, И. В.";"";""
"Анненков, Н. Н.";"Анненков";"Н. Н.";"Н. Н.";"Анненков";"Анненкову";"";"Анненков, Н. Н.";"";""
"Анненков, П. А.";"Анненков";"П. А.";"П. А.";"Анненков";"Анненков";"";"Анненков, П. А.";"";""
"Анненков, П. В.";"Анненков";"Павел Васильевич";"П. В.";"Анненков";"Анненкову";"Анненков, Павел Васильевич";"Анненков, П. В.";"";""
